Product Name,Category,Features
Aero Clean 3000,Home & Lifestyle,"Advanced HEPA/activated carbon filtering, Intelligent air quality sensors, Health-focused automation"
EcoSmart Thermostat,Home & Lifestyle,"AI-driven routine adaptation, Energy consumption optimization, Remote control via app"
Pure H2O Filter,Home & Lifestyle,"Multi-stage filtration system, Easy installation and maintenance, Safe drinking water certification"
Zen Garden Planter,Home & Lifestyle,"Soil moisture/health monitoring, Automated irrigation scheduling, Mobile app integration"
Eco Wash Dishwasher,Home & Lifestyle,"Water-efficient cleaning cycles, Quiet operation, Energy Star certified"
Gloomy Glow Lamp,Home & Lifestyle,"Adjustable brightness/color warmth, Integrated USB charging ports, Modern minimalist design"
Solera Lantern,Home & Lifestyle,"Rechargeable LED with multiple brightness modes, Water-resistant for outdoor use, Compact and portable"
Quantum Drone,Tech & Gadgets,"AI-powered obstacle avoidance, 4K camera with stabilization, Long-flight battery"
Nebula VR Headset,Tech & Gadgets,"High-resolution OLED display, 360Â° immersive tracking, Ergonomic lightweight design"
Giga Drive SSD,Tech & Gadgets,"2TB+ storage capacity, AES 256-bit encryption, 3500MB/s read/write speeds"
Pixel Perfect Camera,Tech & Gadgets,"AI-powered auto-focus/exposure, 48MP sensor with RAW support, Compact and travel-friendly"
3D Printer,Tech & Gadgets,"0.1mm precision nozzle, PLA/ABS filament compatibility, Wi-Fi connectivity for remote printing"
GameForge Console,Tech & Gadgets,"120Hz 4K gaming, Ray tracing support, Cloud gaming integration"
Opticare Glasses,Tech & Gadgets,"Blue light filtering, Anti-glare coating, Lightweight titanium frame"
Ultra Fit Smartwatch,Health & Fitness,"Heart rate/sleep tracking, GPS and waterproof design, Smartphone notifications"
Power Pulse Fitness Tracker,Health & Fitness,"ECG and SpO2 monitoring, 10-day battery life, Workout mode recognition"
Fit Track Scale,Health & Fitness,"Body fat/muscle mass analysis, Bluetooth syncing to health apps, 8-user profiles"
Fusion Fit Treadmill,Health & Fitness,"15% incline with interactive programs, Heart rate chest strap compatibility, Foldable design"
TravelMate L Suitcase,Travel & Mobility,"GPS tracking via app, TSA-approved locks, Lightweight polycarbonate shell"
Speedster Electric Scooter,Travel & Mobility,"30-mile range per charge, IP67 water resistance, Regenerative braking"
AirGlide Hoverboard,Travel & Mobility,"Gyroscopic self-balancing, 12mph max speed, LED safety lights"
Zen Brew Coffee Maker,Kitchen & Appliances,"6 brewing modes (espresso, cold brew, etc.), Programmable timer, Energy-saving auto-off"
Turbo Blend Mixer,Kitchen & Appliances,"1500W motor with pulse function, BPA-free jug, Overheat protection"
Eco Chill Refrigerator,Kitchen & Appliances,"Smart humidity-controlled drawers, Wi-Fi temperature adjustments, Energy-efficient inverter compressor"
Smart Lock Pro,Security & Smart Home,"Fingerprint/biometric authentication, Remote access via app, Tamper alarm"
EcoGuard Security System,Security & Smart Home,"1080p outdoor cameras with night vision, Real-time motion alerts, Local/cloud storage options"
EchoLink Smart Plug,Security & Smart Home,"Energy usage monitoring, Voice assistant compatibility, Scheduled on/off"
Crystal Clear Projector,Audio & Entertainment,"1080p/4K HDR support, 300-inch projection capability, Built-in Harman Kardon speakers"
Fusion Soundbar,Audio & Entertainment,"Dolby Atmos/DTS:X support, Wireless subwoofer, HDMI eARC connectivity"
Sonic Stream Earbuds,Audio & Entertainment,"12mm drivers with ANC, IPX5 sweat resistance, 30-hour playtime"
Terra Tech Solar Panel,Outdoor & Sustainability,"22% energy conversion efficiency, Low-light performance optimization, 25-year warranty"
Solar Sink Charger,Outdoor & Sustainability,"Foldable 15W solar panels, 10,000mAh battery pack, USB-C/USB-A outputs"
EcoVibe Speaker,Outdoor & Sustainability,"Recycled aluminum body, 20-hour playtime, IP67 dust/water resistance"